URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://deforhome.com;0 F;0 F;1 P;- P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;7;4;4.2;PRI
https://genomcore.com;1 P;0 F;0 F;- P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;7;4;4.2;PRI
https://bgc.com.es/;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;1 P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;7;2;5;PRI
https://sportingclubdetenis.com;0 F;0.5 P;0 F;0 F;1 P;0 F;0 F;1 P;0 F;0 F;0 F;0 F;1 P;0 F;1 P;0 F;1 P;0 F;1 P;1 P;10;2;3.5;PRI
https://inbani.com;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;0 F;1 P;0 F;1 P;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;6;4;4.7;PRI
https://cifppolitecnicodemurcia.es;1 P;0 F;1 P;- P;1 P;0 F;0 F;1 P;1 P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;0 F;4;3;6.1;PRI
https://yelarsan.es;1 P;1 P;1 P;- P;0 F;0 F;0 F;1 P;1 P;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;5;3;5.8;PRI
https://www.bodegasterradart.com;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;2;2;7.6;PRI
https://www.edicionesdelserbal.com;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;0 F;0 F;0 F;1 P;9;4;3.2;PRI
https://lilaflicka.com;1 P;0 F;1 P;- P;0 F;0 F;0 F;1 P;- P;- P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;6;4;4.1;PRI
https://aspor.es;1 P;0 F;0 F;1 P;0 F;0 F;0 F;1 P;0 F;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;9;3;4;PRI
https://www.tecnomallas.com;0 F;1 P;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;7;3;4.7;PRI
https://www.diagnosisdermatologica.com;1 P;0.5 P;1 P;- P;0 F;1 P;0 F;1 P;1 P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;3;3;6.1;PRI
https://epicosaludmental.com;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;0 F;1 P;0 F;1 P;9;3;3.7;PRI
https://www.maill.cat;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;0 F;1 P;0 F;1 P;8;3;4.2;PRI
https://asecord.es;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;8;2;4.7;PRI
https://jklmotos.com;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;4;2;6.5;PRI
https://www.necfe.es;1 P;0 F;1 P;- P;0 F;1 P;0 F;1 P;0 F;0 F;0 F;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;8;3;4.2;PRI
https://eloxal.es;1 P;0 F;1 P;- P;0 F;1 P;0 F;1 P;- P;- P;1 P;1 P;1 P;0 F;0 F;1 P;1 P;0 F;1 P;1 P;4;2;6.5;PRI
https://balneaburgos.es;0 F;0 F;1 P;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;8;1;5.3;PRI
https://www.ovidiarader.com/ca/inici;0 F;0 F;1 P;- P;0 F;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;0 F;7;3;4.7;PRI
https://oligofastx.com;1 P;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;7;2;5.3;PRI
https://almerishisha.com;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;10;3;3.2;PRI
https://calsalut.com;1 P;0 F;0 F;- P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;6;3;5.3;PRI
https://newsterpan.com;1 P;0 F;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;4;3;5.9;PRI
https://www.popularlibros.com;0 F;0 F;0 F;- P;0 F;1 P;0 F;1 P;0 F;1 P;0 F;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;0 F;9;5;2.6;PRI
https://www.fisela.net;1 P;0 F;1 P;- P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;0 F;0 F;1 P;1 P;6;4;4.7;PRI
https://politecnicoestella.educacion.navarra.es;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;0 F;1 P;1 P;0 F;1 P;2;3;7.5;PRI
https://www.lamexicana.es;0 F;0 F;0 F;- P;1 P;1 P;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;7;1;5.8;PRI
https://www.anait.es;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;1 P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;0 F;0 F;1 P;8;3;3.9;PRI
https://iesdaroca.catedu.es;0 F;0 F;0 F;- P;0 F;0 F;0 F;1 P;0 F;0 F;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;11;2;3.2;PRI
